Database,Record Type,Data Element,Value,Term,SubmissionType,Average,Standard Deviation
SDB,1,DE1018-ADMISSON-STATE-CODE,1,3,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,2,1,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,2,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,2,2,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,2,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,2,3,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,4,1,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,4,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,4,2,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,4,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,4,3,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,5,1,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,5,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,5,2,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,5,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,5,3,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,6,1,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,6,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,6,2,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,6,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,6,3,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,8,1,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,8,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,8,2,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,8,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,8,3,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,9,1,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,9,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,9,2,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,9,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,9,3,E,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,10,1,E,3.322497E-05,9.03708805130446E-05
SDB,1,DE1018-ADMISSON-STATE-CODE,10,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,10,2,E,5.197356E-05,0.00010933270454482
SDB,1,DE1018-ADMISSON-STATE-CODE,10,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,10,3,E,4.775278E-05,9.74047851869764E-05
SDB,1,DE1018-ADMISSON-STATE-CODE,11,1,E,1.084611E-05,3.59724730985662E-05
SDB,1,DE1018-ADMISSON-STATE-CODE,11,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,11,2,E,4.570802E-06,1.37124061438954E-05
SDB,1,DE1018-ADMISSON-STATE-CODE,11,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,11,3,E,1.204136E-05,2.48041507585656E-05
SDB,1,DE1018-ADMISSON-STATE-CODE,12,1,E,0.1772995,0.313227028669022
SDB,1,DE1018-ADMISSON-STATE-CODE,12,2,B,0.1128631,0.00760762911833454
SDB,1,DE1018-ADMISSON-STATE-CODE,12,2,E,0.2652241,0.300430139364826
SDB,1,DE1018-ADMISSON-STATE-CODE,12,3,B,0.05488676,0.00760762911833454
SDB,1,DE1018-ADMISSON-STATE-CODE,12,3,E,0.2134329,0.298509339540841
SDB,1,DE1018-ADMISSON-STATE-CODE,13,1,E,0.001387224,0.00289899502155091
SDB,1,DE1018-ADMISSON-STATE-CODE,13,2,B,0.000179179,8.19415285795518E-05
SDB,1,DE1018-ADMISSON-STATE-CODE,13,2,E,0.001618049,0.00252263553634174
SDB,1,DE1018-ADMISSON-STATE-CODE,13,3,B,0.0001117674,8.19415285795518E-05
SDB,1,DE1018-ADMISSON-STATE-CODE,13,3,E,0.001501098,0.00272626950131163
SDB,1,DE1018-ADMISSON-STATE-CODE,15,1,E,7.152966E-05,0.000206311039847881
SDB,1,DE1018-ADMISSON-STATE-CODE,15,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,15,2,E,8.701739E-05,0.000184395338467533
SDB,1,DE1018-ADMISSON-STATE-CODE,15,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,15,3,E,8.790981E-05,0.00017360746515341
SDB,1,DE1018-ADMISSON-STATE-CODE,16,1,E,9.322189E-05,0.000277678182287935
SDB,1,DE1018-ADMISSON-STATE-CODE,16,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,16,2,E,9.857391E-05,0.000246233079094849
SDB,1,DE1018-ADMISSON-STATE-CODE,16,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,16,3,E,8.88791E-05,0.000178919689151789
SDB,1,DE1018-ADMISSON-STATE-CODE,17,1,E,0.0006680478,0.00208738682376506
SDB,1,DE1018-ADMISSON-STATE-CODE,17,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,17,2,E,0.001579762,0.00411228025734847
SDB,1,DE1018-ADMISSON-STATE-CODE,17,3,B,1.127803E-05,0
SDB,1,DE1018-ADMISSON-STATE-CODE,17,3,E,0.00176768,0.00413502821055789
SDB,1,DE1018-ADMISSON-STATE-CODE,18,1,E,0.0002348552,0.000715814075500149
SDB,1,DE1018-ADMISSON-STATE-CODE,18,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,18,2,E,0.0002959934,0.00068330850099008
SDB,1,DE1018-ADMISSON-STATE-CODE,18,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,18,3,E,0.0004199146,0.000836584630570654
SDB,1,DE1018-ADMISSON-STATE-CODE,19,1,E,9.663602E-05,0.000285700554634999
SDB,1,DE1018-ADMISSON-STATE-CODE,19,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,19,2,E,0.0001542619,0.000352964476295351
SDB,1,DE1018-ADMISSON-STATE-CODE,19,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,19,3,E,0.0001075469,0.000217511954111955
SDB,1,DE1018-ADMISSON-STATE-CODE,20,1,E,0.0001498206,0.000475221673465449
SDB,1,DE1018-ADMISSON-STATE-CODE,20,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,20,2,E,0.0001815812,0.000439814364174255
SDB,1,DE1018-ADMISSON-STATE-CODE,20,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,20,3,E,0.0001865246,0.000375708616837528
SDB,1,DE1018-ADMISSON-STATE-CODE,21,1,E,0.0001775698,0.000536626668041245
SDB,1,DE1018-ADMISSON-STATE-CODE,21,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,21,2,E,0.000186152,0.000453139929203684
SDB,1,DE1018-ADMISSON-STATE-CODE,21,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,21,3,E,0.0002028898,0.000403278867959549
SDB,1,DE1018-ADMISSON-STATE-CODE,22,1,E,0.0001996931,0.00053494993687786
SDB,1,DE1018-ADMISSON-STATE-CODE,22,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,22,2,E,0.0002193117,0.000497736647669717
SDB,1,DE1018-ADMISSON-STATE-CODE,22,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,22,3,E,0.0002431021,0.000483218882781356
SDB,1,DE1018-ADMISSON-STATE-CODE,23,1,E,4.983745E-05,0.000135556289272007
SDB,1,DE1018-ADMISSON-STATE-CODE,23,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,23,2,E,9.341849E-05,0.000182247939147873
SDB,1,DE1018-ADMISSON-STATE-CODE,23,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,23,3,E,8.606051E-05,0.000157735301464715
SDB,1,DE1018-ADMISSON-STATE-CODE,24,1,E,0.0002369151,0.000663811305878992
SDB,1,DE1018-ADMISSON-STATE-CODE,24,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,24,2,E,0.0003330038,0.000682142035019044
SDB,1,DE1018-ADMISSON-STATE-CODE,24,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,24,3,E,0.0003347777,0.000660892020940759
SDB,1,DE1018-ADMISSON-STATE-CODE,25,1,E,0.0001589852,0.00047471809109732
SDB,1,DE1018-ADMISSON-STATE-CODE,25,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,25,2,E,0.0002018638,0.000431707172155175
SDB,1,DE1018-ADMISSON-STATE-CODE,25,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,25,3,E,0.0002611337,0.000516669199358616
SDB,1,DE1018-ADMISSON-STATE-CODE,26,1,E,0.0004169235,0.00131785268838751
SDB,1,DE1018-ADMISSON-STATE-CODE,26,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,26,2,E,0.0005220525,0.00116262227047117
SDB,1,DE1018-ADMISSON-STATE-CODE,26,3,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,26,3,E,0.0005873734,0.00116437090330465
SDB,1,DE1018-ADMISSON-STATE-CODE,27,1,E,0.0001474524,0.000456889429255025
SDB,1,DE1018-ADMISSON-STATE-CODE,27,2,B,0,0
SDB,1,DE1018-ADMISSON-STATE-CODE,27,2,E,0.000184729,0.000435640949604922
SDB,1,DE1018-ADMISSON-STATE-CODE,27,3,B,0,0
